dataStructure,K,numTrainingPoints,dim,AverageTime
KD, 9, 1000, 3, 3623
Bucket, 9, 1000, 3, 35418
KD, 23, 1000, 3, 6188
Bucket, 23, 1000, 3, 34276
KD, 55, 1000, 3, 9869
Bucket, 55, 1000, 3, 34758
KD, 70, 1000, 3, 10261
Bucket, 70, 1000, 3, 34874
KD, 89, 1000, 3, 11453
Bucket, 89, 1000, 3, 34325
KD, 100, 1000, 3, 13236
Bucket, 100, 1000, 3, 33622
KD, 120, 1000, 3, 13865
Bucket, 120, 1000, 3, 34192
KD, 150, 1000, 3, 15194
Bucket, 150, 1000, 3, 34509
KD, 250, 1000, 3, 17404
Bucket, 250, 1000, 3, 34151
KD, 50, 1000, 3, 8874
Bucket, 50, 1000, 3, 34230
KD, 25, 1000, 3, 6202
Bucket, 25, 1000, 3, 33934
KD, 200, 1000, 3, 17033
Bucket, 200, 1000, 3, 34063
KD, 390, 1000, 3, 18749
Bucket, 390, 1000, 3, 33936
KD, 300, 1000, 3, 18311
Bucket, 300, 1000, 3, 35437
KD, 150, 1000, 3, 15296
Bucket, 150, 1000, 3, 33951
KD, 19, 1000, 3, 5191
Bucket, 19, 1000, 3, 33825
KD, 61, 1000, 3, 10416
Bucket, 61, 1000, 3, 34351
KD, 82, 1000, 3, 10712
Bucket, 82, 1000, 3, 34892
KD, 143, 1000, 3, 14611
Bucket, 143, 1000, 3, 34526
KD, 177, 1000, 3, 16999
Bucket, 177, 1000, 3, 34798
KD, 269, 1000, 3, 18014
Bucket, 269, 1000, 3, 34359
